AREA,PERIMETER,CELL_ID,Lon,Lat,cdirjan,cdirfeb,cdirmar,cdirapr,cdirmay,cdirjun,cdirjul,cdiraug,cdirsep,cdiroct,cdirnov,cdirdec,cdirann
0.127,1.427,287108,88.39400000000,27.46100000000,4954,3491,3231,3306,2959,2053,1521,1750,1890,5114,4981,5233,3373
0.126,1.426,288108,88.02400000000,27.39200000000,5138,3858,3814,4181,3732,2263,1478,1702,2319,5631,5298,5473,3740
0.126,1.423,285107,89.20700000000,27.26200000000,5676,4556,4011,4070,3472,2124,1540,1786,2195,6022,5906,6048,3950
0.126,1.421,286107,88.83800000000,27.19800000000,5518,4099,3790,3727,2930,2110,1310,1858,1944,5508,5646,5725,3680
0.125,1.420,287107,88.46900000000,27.13300000000,5128,4063,3735,4206,3610,2553,1586,2197,2640,6258,5451,5740,3930
0.125,1.418,288107,88.10200000000,27.06500000000,5422,4013,3841,4208,3378,2308,1209,1874,2449,5997,5417,5649,3813
0.125,1.417,289107,87.73500000000,26.99500000000,4950,3721,3739,4134,3749,2611,1346,1966,2477,6053,4977,5328,3754
0.125,1.417,284106,89.64500000000,26.99500000000,4347,2944,2809,2770,2066,1221,1004,1209,1500,4751,4576,4824,2835
0.125,1.415,285106,89.27700000000,26.93400000000,4250,3075,2769,3105,2430,1445,964,1317,1867,5268,4646,4899,3002
0.124,1.414,286106,88.91000000000,26.87100000000,4569,3239,2998,3351,2788,1745,1078,1563,2012,5634,4692,5065,3227
0.124,1.413,287106,88.54400000000,26.80600000000,4389,3105,2952,3300,2883,1867,1082,1730,2107,5580,4532,4878,3200
0.124,1.411,288106,88.17900000000,26.73900000000,4225,3156,2962,3389,2988,1914,1148,1525,1924,5578,4482,4753,3170
0.124,1.411,283105,90.07800000000,26.72600000000,4194,2762,2457,2368,2299,1235,947,1125,1323,5058,4753,5020,2795
0.124,1.410,289106,87.81400000000,26.66900000000,4234,3118,3140,3485,3219,2309,1292,1819,2098,5624,4427,4721,3290
0.124,1.410,284105,89.71200000000,26.66700000000,4276,2975,2589,2695,2232,1190,895,1050,1430,5092,4542,5054,2835
0.124,1.408,285105,89.34600000000,26.60700000000,4462,3191,2839,2890,2388,1376,874,1173,1641,5333,4530,5163,2988
0.123,1.408,290106,87.45100000000,26.59800000000,4016,3340,3618,3567,3485,2206,1349,1884,2334,5654,4359,4597,3367
0.123,1.407,286105,88.98100000000,26.54400000000,4593,3296,2960,2969,2570,1507,865,1219,1585,5338,4553,5020,3039
0.123,1.406,287105,88.61700000000,26.48000000000,4518,3369,3096,3061,2554,1790,903,1274,1654,5415,4518,4954,3092
0.123,1.405,282104,90.50700000000,26.45400000000,4822,3218,2835,2807,2794,1767,982,1586,1482,4957,5015,5482,3145
0.123,1.404,288105,88.25400000000,26.41300000000,4417,3372,3210,3274,2837,1914,942,1314,1703,5501,4464,4916,3155
0.123,1.404,283104,90.14200000000,26.39800000000,5034,3620,3288,2952,2803,1519,890,1509,1485,5329,5147,5601,3264
0.123,1.403,289105,87.89200000000,26.34500000000,4155,3650,3539,3419,3116,2141,958,1457,1739,5606,4438,4575,3232
0.123,1.402,284104,89.77800000000,26.34100000000,4912,3643,3394,3242,2829,1688,1022,1455,1708,5234,5072,5441,3303
0.122,1.401,285104,89.41400000000,26.28100000000,4814,3650,3414,3183,2746,1613,980,1375,1889,5438,4980,5264,3278
0.122,1.401,290105,87.53100000000,26.27400000000,4123,3716,3716,3509,3480,2311,1053,1611,1960,5869,4498,4643,3374
0.122,1.400,286104,89.05200000000,26.21900000000,4559,3390,3139,2867,2685,1748,1026,1365,1656,4849,4409,5003,3058
0.122,1.398,287104,88.69000000000,26.15500000000,4604,3453,3236,3046,2889,1784,906,1338,1606,5280,4393,4987,3126
0.122,1.398,282103,90.56800000000,26.12700000000,5207,3722,3462,3426,3094,1813,902,1618,1529,4854,5119,5499,3353
0.122,1.397,288104,88.32900000000,26.08900000000,4428,3654,3563,3215,2923,1961,919,1448,1491,5393,4336,4745,3173
0.122,1.397,283103,90.20500000000,26.07200000000,5405,3878,3683,3601,3189,1871,923,1652,1498,5046,5335,5687,3480
0.121,1.396,289104,87.96900000000,26.02100000000,4247,3647,3678,3354,3278,2158,1003,1535,1740,5703,4298,4699,3278
0.121,1.395,284103,89.84300000000,26.01500000000,5335,3809,3680,3514,2969,1756,986,1549,1626,5295,5188,5597,3442
0.121,1.395,278102,92.07800000000,26.00000000000,5518,4224,3743,3866,3276,1979,902,1711,1605,4699,5457,5967,3578
0.121,1.394,290104,87.61100000000,25.95200000000,4276,3769,3814,3547,3495,2310,983,1741,1995,5833,4414,4663,3403
0.121,1.394,285103,89.48200000000,25.95600000000,4805,3603,3493,3012,2794,1616,1162,1536,1785,4962,4801,5166,3227
0.121,1.394,279102,91.71400000000,25.95400000000,5450,4141,3669,3921,3467,1959,920,1677,1850,4781,5518,6012,3613
0.121,1.393,280102,91.35100000000,25.90500000000,5479,4112,3843,3777,3248,1920,1345,1875,1889,4553,5311,5813,3597
0.121,1.393,286103,89.12100000000,25.89500000000,4711,3592,3461,3097,2868,1677,1055,1545,1779,4930,4620,5169,3208
0.121,1.393,291104,87.25300000000,25.88000000000,4266,3752,3865,3617,3756,2351,922,1830,1897,5648,4410,4577,3407
0.121,1.392,281102,90.98900000000,25.85400000000,5567,4068,4040,3905,3426,1830,940,1712,1731,5123,5275,5619,3603
0.121,1.392,287103,88.76200000000,25.83100000000,4616,3771,3736,3168,2809,1677,1064,1520,1698,4967,4513,4864,3200
0.121,1.391,282102,90.62800000000,25.80200000000,5379,3874,3890,3768,3402,1752,826,1616,1592,5024,5009,5500,3469
0.120,1.390,288103,88.40300000000,25.76600000000,4697,3855,3834,3425,3195,1923,934,1657,1814,5586,4603,4909,3369
0.120,1.390,276101,92.85200000000,25.76000000000,5543,4290,3491,3701,3278,2388,1415,1832,2028,4392,5418,5919,3641
0.120,1.390,283102,90.26700000000,25.74700000000,5412,3900,3893,3694,3380,1625,835,1495,1616,5378,5215,5479,3493
0.120,1.389,277101,92.49000000000,25.71800000000,5314,4198,3668,3878,3020,1802,949,1521,1537,4315,5365,5684,3437
0.120,1.389,289103,88.04600000000,25.69900000000,4481,3748,3635,3424,3143,2080,946,1642,1885,5624,4298,4850,3313
0.120,1.388,284102,89.90700000000,25.69100000000,5430,3981,3967,3631,3203,1605,848,1455,1731,5468,5161,5687,3513
0.120,1.388,278101,92.12800000000,25.67400000000,5621,4522,4067,4095,3241,1797,993,1619,1539,4615,5536,5803,3620
0.120,1.387,290103,87.68900000000,25.63000000000,4386,3727,3798,3580,3516,2285,920,1767,1890,5861,4286,4737,3396
0.120,1.387,285102,89.54800000000,25.63200000000,5052,3728,3723,3407,3082,1741,1083,1630,1804,5340,4800,5360,3395
0.120,1.387,279101,91.76700000000,25.62800000000,5573,4805,4576,4361,3307,1519,898,1513,1444,4755,5433,5767,3662
0.120,1.386,280101,91.40600000000,25.58000000000,5544,4651,4387,4095,3346,1541,880,1450,1478,4822,5466,5658,3609
0.120,1.386,286102,89.19000000000,25.57100000000,4769,3811,3778,3188,2912,1638,1123,1621,1637,4839,4493,4999,3234
0.120,1.386,291103,87.33300000000,25.55900000000,4356,3744,3864,3691,3544,2428,946,1725,2006,5688,4347,4683,3418
0.120,1.385,281101,91.04600000000,25.52900000000,5861,4756,4574,4181,3470,1621,865,1467,1618,5237,5594,5871,3759
0.119,1.385,287102,88.83300000000,25.50900000000,4818,3917,3845,3453,3224,1754,975,1676,1787,5430,4608,5026,3376
0.119,1.384,282101,90.68700000000,25.47700000000,5481,4102,4056,3582,3285,1563,853,1463,1646,5132,5262,5657,3506
0.119,1.383,288102,88.47600000000,25.44400000000,4806,3946,3870,3492,3273,1911,1021,1611,1944,5597,4573,5141,3432
0.119,1.383,276100,92.89800000000,25.43400000000,5255,3954,3419,3341,2833,1968,1148,1550,1753,4331,5167,6095,3401
0.119,1.383,283101,90.32900000000,25.42300000000,5333,3902,3781,3289,3016,1353,809,1289,1516,5064,5069,5754,3347
0.119,1.382,277100,92.53700000000,25.39200000000,5441,4555,3868,3820,2837,1515,966,1592,1285,4403,5572,6185,3503
0.119,1.382,289102,88.12100000000,25.37800000000,4720,3865,3966,3662,3289,2087,1077,1584,1833,5771,4638,5032,3460
