Source,Cregion,compound_values,independent_values,n_Comp,n_Indep,NOC,med_Comp,med_Indep,med_diff,ks_p,wilcox_p,cliff_d,stat_label,max_val,Dynamic_Variable
SOVI,MDA,,,3,1,4,1.005411449,0.170090402,0.835321047,0.5,0.5,1,ΔMed = 0.84 | Cliff's d = 1 | KS p = 0.50 | NOC = 4,3.46223806,Housing burden (percent) (percentile)
SOVI,SE,,,12,1,13,0.498927194,0.173870135,0.325057059,0.615384615,0.615384615,0.5,ΔMed = 0.33 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,1.799155431,Housing burden (percent) (percentile)
SOVI,GLF,,,28,4,32,0.370416264,0.287262133,0.083154131,0.674638487,0.669094321,0.142857143,ΔMed = 0.08 | Cliff's d = 0.14 | KS p = 0.67 | NOC = 32,3.231674332,Housing burden (percent) (percentile)
SOVI,SW,,,1,0,1,0.631217858,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.631217858,Housing burden (percent) (percentile)
SOVI,NW,,,3,0,3,0.767288255,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.99407225,Housing burden (percent) (percentile)
SVI,MDA,,,3,1,4,0.626624242,0.683937799,-0.057313557,1,1,-0.333333333,ΔMed = -0.06 | Cliff's d = -0.33 | KS p = 1.00 | NOC = 4,0.891236919,Housing burden (percent) (percentile)
SVI,SE,,,12,1,13,0.740580303,0.675535294,0.065045009,0.615384615,0.615384615,0.5,ΔMed = 0.07 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,0.8547,Housing burden (percent) (percentile)
SVI,GLF,,,28,4,32,0.640277273,0.652305714,-0.012028442,0.992880979,0.978031146,0.017857143,ΔMed = -0.01 | Cliff's d = 0.02 | KS p = 0.99 | NOC = 32,0.9278,Housing burden (percent) (percentile)
SVI,SW,,,1,0,1,0.6807,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.6807,Housing burden (percent) (percentile)
SVI,NW,,,3,0,3,0.610542857,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.631672222,Housing burden (percent) (percentile)
Housing burden (percent) (percentile),MDA,,,3,1,4,73.35353535,73.36057692,-0.00704157,1,1,-0.333333333,ΔMed = -0.01 | Cliff's d = -0.33 | KS p = 1.00 | NOC = 4,88.94864048,Housing burden (percent) (percentile)
Housing burden (percent) (percentile),SE,,,12,1,13,55.93636364,51.92857143,4.007792208,0.769230769,0.769230769,0.333333333,ΔMed = 4.01 | Cliff's d = 0.33 | KS p = 0.77 | NOC = 13,88.72727273,Housing burden (percent) (percentile)
Housing burden (percent) (percentile),GLF,,,28,4,32,42.66666667,37.02645503,5.64021164,0.202447164,0.151334816,0.464285714,ΔMed = 5.64 | Cliff's d = 0.46 | KS p = 0.20 | NOC = 32,71.55813953,Housing burden (percent) (percentile)
Housing burden (percent) (percentile),SW,,,1,0,1,58.42857143,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,58.42857143,Housing burden (percent) (percentile)
Housing burden (percent) (percentile),NW,,,3,0,3,47.52941176,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,53.8,Housing burden (percent) (percentile)
SOVI,MDA,,,3,1,4,1.005411449,0.170090402,0.835321047,0.5,0.5,1,ΔMed = 0.84 | Cliff's d = 1 | KS p = 0.50 | NOC = 4,3.46223806,Expected building loss rate (Natural Hazards Risk Index) (percentile)
SOVI,SE,,,12,1,13,0.498927194,0.173870135,0.325057059,0.615384615,0.615384615,0.5,ΔMed = 0.33 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,1.799155431,Expected building loss rate (Natural Hazards Risk Index) (percentile)
SOVI,GLF,,,28,4,32,0.370416264,0.287262133,0.083154131,0.674638487,0.669094321,0.142857143,ΔMed = 0.08 | Cliff's d = 0.14 | KS p = 0.67 | NOC = 32,3.231674332,Expected building loss rate (Natural Hazards Risk Index) (percentile)
SOVI,SW,,,1,0,1,0.631217858,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.631217858,Expected building loss rate (Natural Hazards Risk Index) (percentile)
SOVI,NW,,,3,0,3,0.767288255,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.99407225,Expected building loss rate (Natural Hazards Risk Index) (percentile)
SVI,MDA,,,3,1,4,0.626624242,0.683937799,-0.057313557,1,1,-0.333333333,ΔMed = -0.06 | Cliff's d = -0.33 | KS p = 1.00 | NOC = 4,0.891236919,Expected building loss rate (Natural Hazards Risk Index) (percentile)
SVI,SE,,,12,1,13,0.740580303,0.675535294,0.065045009,0.615384615,0.615384615,0.5,ΔMed = 0.07 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,0.8547,Expected building loss rate (Natural Hazards Risk Index) (percentile)
SVI,GLF,,,28,4,32,0.640277273,0.652305714,-0.012028442,0.992880979,0.978031146,0.017857143,ΔMed = -0.01 | Cliff's d = 0.02 | KS p = 0.99 | NOC = 32,0.9278,Expected building loss rate (Natural Hazards Risk Index) (percentile)
SVI,SW,,,1,0,1,0.6807,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.6807,Expected building loss rate (Natural Hazards Risk Index) (percentile)
SVI,NW,,,3,0,3,0.610542857,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.631672222,Expected building loss rate (Natural Hazards Risk Index) (percentile)
Expected building loss rate (Natural Hazards Risk Index) (percentile),MDA,,,3,1,4,34.405,25.51904762,8.885952381,1,1,0.333333333,ΔMed = 8.89 | Cliff's d = 0.33 | KS p = 1.00 | NOC = 4,79,Expected building loss rate (Natural Hazards Risk Index) (percentile)
Expected building loss rate (Natural Hazards Risk Index) (percentile),SE,,,12,1,13,91.03333333,47.35714286,43.67619048,0.307692308,0.307692308,0.833333333,ΔMed = 43.68 | Cliff's d = 0.83 | KS p = 0.31 | NOC = 13,99,Expected building loss rate (Natural Hazards Risk Index) (percentile)
Expected building loss rate (Natural Hazards Risk Index) (percentile),GLF,,,28,4,32,93.47916667,90.27272727,3.206439394,0.691323693,0.588223652,0.178571429,ΔMed = 3.21 | Cliff's d = 0.18 | KS p = 0.69 | NOC = 32,99,Expected building loss rate (Natural Hazards Risk Index) (percentile)
Expected building loss rate (Natural Hazards Risk Index) (percentile),SW,,,1,0,1,65,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,65,Expected building loss rate (Natural Hazards Risk Index) (percentile)
