Index,Events,Average Zeroed Cap@174kHz,Average Zeroed Cap@224kHz,Average Zeroed Cap@287kHz,Average Zeroed Cap@368kHz,Average Zeroed Cap@473kHz,Average Zeroed Cap@607kHz,Average Zeroed Cap@779kHz,Average Zeroed Cap@1000kHz,Average Zeroed Cap@1284kHz,Average Zeroed Cap@1648kHz,Average Zeroed Cap@2115kHz,Cell Type,Time Period,Cell Type.V1
142,Feed,2.855,2.286,1.745,1.517,1.232,1.045,0.763,0.616,0.521,0.387,0.38,3t3,24,1
143,0,2.941,2.194,1.864,1.628,1.236,1.086,0.859,0.643,0.455,0.394,0.459,3t3,24,1
144,0,2.993,2.192,1.77,1.426,1.315,1.084,0.763,0.693,0.511,0.346,0.364,3t3,24,1
145,0,2.767,2.227,1.876,1.428,1.366,1.001,0.73,0.69,0.501,0.397,0.404,3t3,24,1
146,0,2.916,2.164,2.018,1.501,1.338,1.114,0.803,0.646,0.448,0.366,0.458,3t3,24,1
152,Feed,4.396,3.78,3.394,2.909,2.583,2.589,2.404,2.165,2.053,1.87,1.912,3t3,24,1
153,0,4.515,3.757,3.444,3.148,2.84,2.646,2.266,2.204,2.02,2.002,1.946,3t3,24,1
154,0,4.53,3.827,3.367,2.923,2.765,2.625,2.315,2.152,2.008,1.955,1.953,3t3,24,1
155,0,4.349,3.632,3.169,2.887,2.673,2.623,2.326,2.178,2.047,1.892,1.934,3t3,24,1
156,0,4.343,3.606,3.182,2.981,2.76,2.535,2.282,2.173,2.036,1.929,1.981,3t3,24,1
161,Feed,2.719,2.16,1.61,1.37,1.161,0.974,0.665,0.608,0.371,0.392,0.368,3t3,24,1
162,0,2.66,1.89,1.589,1.316,1.023,0.931,0.668,0.588,0.412,0.323,0.324,3t3,24,1
163,0,2.663,1.981,1.597,1.329,1.195,0.976,0.646,0.545,0.42,0.299,0.35,3t3,24,1
164,0,2.774,1.926,1.56,1.29,1.099,0.919,0.64,0.56,0.355,0.3,0.316,3t3,24,1
165,0,2.556,2.01,1.595,1.327,1.042,0.93,0.657,0.605,0.354,0.303,0.355,3t3,24,1
174,Feed,3.368,2.423,2.104,1.858,1.384,1.327,0.997,0.972,0.683,0.575,0.599,3t3,24,1
175,0,3.438,2.551,2.232,1.826,1.625,1.418,1.085,0.844,0.661,0.595,0.613,3t3,24,1
176,0,3.268,2.714,2.044,1.843,1.479,1.329,1.081,0.891,0.752,0.647,0.607,3t3,24,1
177,0,3.412,2.544,2.103,1.953,1.591,1.361,1.085,0.883,0.733,0.613,0.554,3t3,24,1
178,0,3.383,2.607,2.106,1.919,1.336,1.316,1.066,0.854,0.606,0.64,0.587,3t3,24,1
145,Feed,2.324,1.819,1.344,1.022,0.66,0.58,0.384,0.369,0.206,0.174,0.133,3t3,48,1
146,0,2.364,1.5,1.229,0.946,0.455,0.449,0.259,0.257,0.083,0.046,0.045,3t3,48,1
147,0,2.307,1.521,1.221,0.657,0.614,0.375,0.203,0.168,0.069,-0.02,-0.037,3t3,48,1
148,0,2.312,1.471,1.196,0.532,0.369,0.332,0.18,0.108,0.007,-0.024,-0.054,3t3,48,1
149,0,2.161,1.457,1.143,0.341,0.399,0.245,0.081,0.078,-0.064,-0.045,-0.123,3t3,48,1
156,Feed,4.579,3.429,2.97,2.479,1.963,1.954,1.788,1.74,1.586,1.502,1.45,3t3,48,1
157,0,4.532,3.359,2.927,2.307,1.884,1.865,1.681,1.652,1.452,1.443,1.371,3t3,48,1
158,0,4.303,3.179,2.917,2.189,2.082,1.859,1.628,1.587,1.396,1.351,1.335,3t3,48,1
159,0,4.279,3.204,2.801,2.114,1.825,1.76,1.502,1.539,1.376,1.295,1.201,3t3,48,1
160,0,4.215,3.058,2.652,2.171,1.776,1.688,1.491,1.428,1.235,1.243,1.138,3t3,48,1
165,Feed,4.083,3.209,3.043,2.371,2.054,1.948,1.793,1.685,1.488,1.536,1.476,3t3,48,1
166,0,4.203,3.341,2.788,2.433,1.952,1.93,1.8,1.728,1.568,1.476,1.475,3t3,48,1
167,0,4.185,3.232,2.89,2.357,2.062,1.95,1.776,1.693,1.519,1.553,1.511,3t3,48,1
168,0,4.111,3.252,2.786,2.598,2.034,1.968,1.823,1.724,1.518,1.533,1.476,3t3,48,1
169,0,4.21,3.214,2.841,2.583,2.088,1.961,1.814,1.781,1.606,1.582,1.486,3t3,48,1
174,Feed,3.422,2.736,2.244,1.757,1.215,1.176,0.953,0.929,0.745,0.715,0.666,3t3,48,1
175,0,3.636,2.592,2.223,1.804,1.296,1.143,0.992,0.964,0.71,0.681,0.611,3t3,48,1
176,0,3.765,2.636,2.355,1.706,1.349,1.21,0.968,0.905,0.715,0.685,0.575,3t3,48,1
177,0,3.699,2.585,2.081,1.871,1.32,1.161,0.977,0.931,0.758,0.733,0.662,3t3,48,1
178,0,3.637,2.574,2.346,1.955,1.393,1.2,0.977,0.957,0.747,0.745,0.643,3t3,48,1
121,Feed,2.603,2.02,1.54,1.2,0.879,0.777,0.704,0.518,0.514,0.506,0.42,3t3,96,1
122,0,2.681,1.948,1.599,1.058,0.596,0.769,0.662,0.534,0.501,0.458,0.431,3t3,96,1
123,0,2.554,1.865,1.785,1.087,0.695,0.751,0.732,0.544,0.51,0.408,0.397,3t3,96,1
124,0,2.597,1.992,1.558,1.329,0.676,0.792,0.673,0.525,0.501,0.437,0.411,3t3,96,1
125,0,2.402,2.228,1.582,1.211,0.548,0.799,0.691,0.562,0.508,0.394,0.441,3t3,96,1
131,Feed,4.099,3.497,3.022,2.861,2.362,2.231,2.16,2.013,1.93,1.923,1.85,3t3,96,1
132,0,4.245,3.658,3.113,2.788,2.214,2.261,2.231,1.958,1.94,1.911,1.85,3t3,96,1
133,0,4.282,3.651,3.121,2.693,2.146,2.247,2.165,1.971,1.934,1.849,1.789,3t3,96,1
134,0,4.107,3.607,3.042,2.635,2.258,2.245,2.149,1.953,1.954,1.845,1.883,3t3,96,1
135,0,4.229,3.783,3.08,2.571,2.23,2.23,2.121,1.982,1.892,1.864,1.837,3t3,96,1
142,Feed,3.585,3.21,2.582,2.584,1.954,2.054,2.015,1.796,1.834,1.735,1.651,3t3,96,1
143,0,3.76,3.11,2.745,2.563,2.095,2.035,1.972,1.798,1.815,1.715,1.712,3t3,96,1
144,0,3.694,3.174,2.71,2.473,1.957,2.072,1.967,1.768,1.808,1.729,1.621,3t3,96,1
145,0,3.806,3.091,2.782,2.495,2.114,2.135,1.979,1.814,1.786,1.711,1.695,3t3,96,1
146,0,3.67,3.156,2.733,2.435,2.086,2.107,1.979,1.823,1.8,1.683,1.58,3t3,96,1
175,Feed,2.729,2.077,1.727,1.52,1.121,0.889,0.807,0.626,0.612,0.506,0.479,3t3,96,1
176,0,2.82,2.25,1.668,1.28,0.854,0.846,0.756,0.64,0.643,0.536,0.475,3t3,96,1
177,0,2.902,2.232,1.756,1.36,0.793,0.943,0.847,0.622,0.621,0.604,0.503,3t3,96,1
178,0,2.615,2.075,1.819,1.444,0.987,0.869,0.75,0.649,0.648,0.527,0.534,3t3,96,1
179,0,2.602,2.178,1.669,1.431,0.963,0.963,0.79,0.637,0.552,0.543,0.548,3t3,96,1
183,Feed,2.962,2.376,1.954,1.47,0.882,0.975,0.838,0.666,0.65,0.557,0.551,3t3,96,1
184,0,2.848,2.383,1.87,1.279,1.047,0.934,0.817,0.696,0.623,0.528,0.579,3t3,96,1
185,0,2.946,2.516,2.089,1.479,1.222,0.949,0.834,0.603,0.658,0.551,0.547,3t3,96,1
186,0,3.033,2.449,1.868,1.359,0.999,0.96,0.862,0.624,0.642,0.606,0.557,3t3,96,1
187,0,2.954,2.462,1.713,1.462,0.91,0.93,0.846,0.645,0.701,0.588,0.543,3t3,96,1
189,Feed,2.745,2.055,1.591,1.306,0.883,0.958,0.77,0.662,0.632,0.599,0.557,3t3,96,1
190,0,2.66,2.165,1.682,1.367,0.73,0.874,0.774,0.634,0.663,0.558,0.534,3t3,96,1
191,0,2.55,2.112,1.675,1.353,0.961,0.883,0.774,0.688,0.638,0.529,0.439,3t3,96,1
192,0,2.828,2.067,1.731,1.168,1.059,0.894,0.822,0.622,0.604,0.471,0.535,3t3,96,1
193,0,2.497,1.926,1.62,1.3,0.862,0.894,0.76,0.631,0.609,0.483,0.551,3t3,96,1
22,Feed,0.147,-0.091,-0.131,-0.401,-0.701,-0.689,-0.727,-0.747,-0.79,-0.777,-0.875,chondro,24,2
23,0,0.283,0.072,-0.175,-0.445,-0.633,-0.623,-0.704,-0.763,-0.683,-0.791,-0.869,chondro,24,2
24,0,0.172,0.003,-0.068,-0.444,-0.499,-0.618,-0.764,-0.688,-0.727,-0.73,-0.853,chondro,24,2
25,0,0.371,-0.076,-0.096,-0.475,-0.532,-0.599,-0.714,-0.776,-0.768,-0.794,-0.853,chondro,24,2
26,0,0.311,0.213,-0.092,-0.424,-0.568,-0.562,-0.771,-0.761,-0.755,-0.76,-0.895,chondro,24,2
32,Feed,1.509,1.198,0.91,0.745,0.489,0.465,0.277,0.327,0.323,0.235,0.118,chondro,24,2
33,0,1.358,1.196,1.018,0.554,0.512,0.473,0.272,0.3,0.269,0.284,0.185,chondro,24,2
34,0,1.252,1.233,0.929,0.604,0.661,0.413,0.234,0.3,0.284,0.295,0.136,chondro,24,2
35,0,1.566,1.297,0.963,0.729,0.475,0.419,0.312,0.316,0.316,0.346,0.208,chondro,24,2
36,0,1.601,1.07,0.962,0.591,0.36,0.539,0.356,0.314,0.359,0.319,0.191,chondro,24,2
76,Feed,1.277,1.005,0.79,0.616,0.395,0.375,0.274,0.323,0.305,0.264,0.152,chondro,24,2
77,0,1.069,1.059,0.934,0.501,0.232,0.419,0.285,0.344,0.332,0.214,0.175,chondro,24,2
78,0,1.337,1.064,0.83,0.593,0.415,0.425,0.262,0.29,0.337,0.325,0.121,chondro,24,2
79,0,1.371,1.102,0.999,0.586,0.338,0.392,0.299,0.332,0.272,0.282,0.162,chondro,24,2
80,0,1.137,0.991,0.895,0.667,0.442,0.378,0.317,0.331,0.301,0.293,0.126,chondro,24,2
85,Feed,-1.059,-0.367,0.115,-0.061,0.177,0.302,0.151,0.23,0.273,0.323,0.162,chondro,24,2
86,0,-0.989,-0.408,0.046,0.378,0.206,0.23,0.237,0.289,0.31,0.316,0.204,chondro,24,2
87,0,0.238,0.569,0.92,0.761,0.584,0.8,0.462,0.527,0.56,0.556,0.461,chondro,24,2
88,0,-0.417,0.121,0.385,0.477,0.564,0.595,0.509,0.566,0.517,0.507,0.444,chondro,24,2
89,0,-0.432,0.026,0.311,0.407,0.396,0.563,0.529,0.566,0.538,0.45,0.449,chondro,24,2
65,Feed,2.419,2.083,1.628,1.077,1.005,0.809,0.728,0.685,0.624,0.684,0.576,chondro,48,2
66,0,2.562,2.003,1.396,1.054,1.033,0.867,0.718,0.746,0.572,0.699,0.585,chondro,48,2
67,0,2.407,2.137,1.353,1.05,0.981,0.83,0.781,0.732,0.552,0.664,0.467,chondro,48,2
