,Events,Average Zeroed Cap@174kHz,Average Zeroed Cap@224kHz,Average Zeroed Cap@287kHz,Average Zeroed Cap@368kHz,Average Zeroed Cap@473kHz,Average Zeroed Cap@607kHz,Average Zeroed Cap@779kHz,Average Zeroed Cap@1000kHz,Average Zeroed Cap@1284kHz,Average Zeroed Cap@1648kHz,Average Zeroed Cap@2115kHz,Cell Type,Time Point in hours,Cell Numbers in Million,Cell Type
23,Feed,1.331,1.207,0.562,0.745,0.594,0.36,0.247,0.279,0.045,0.148,0.058,MG63,24,1,1
24,0,1.387,1.27,0.969,0.789,0.569,0.32,0.264,0.244,0.095,0.174,0.047,MG63,24,1,1
25,0,1.344,1.297,0.736,0.825,0.592,0.307,0.249,0.167,0.024,0.149,-0.029,MG63,24,1,1
26,0,1.305,1.183,0.661,0.705,0.524,0.306,0.273,0.184,0.054,0.071,-0.011,MG63,24,1,1
27,0,1.345,1.052,0.692,0.787,0.577,0.359,0.263,0.265,0.031,0.102,-0.02,MG63,24,1,1
28,0,1.207,1.194,0.742,0.71,0.605,0.383,0.282,0.228,0.114,0.136,0.026,MG63,24,1,1
29,0,1.352,1.018,0.675,0.726,0.518,0.288,0.266,0.204,0.073,0.077,0.012,MG63,24,1,1
30,0,1.326,1.059,0.641,0.85,0.389,0.34,0.276,0.156,0.05,0.124,-0.056,MG63,24,1,1
31,0,1.386,1.184,0.713,0.646,0.683,0.305,0.296,0.145,0.102,0.027,0.041,MG63,24,1,1
32,0,1.405,1.178,0.921,0.868,0.575,0.316,0.261,0.155,0.101,0.123,-0.024,MG63,24,1,1
33,0,1.442,1.321,0.679,0.614,0.501,0.318,0.206,0.17,0.033,0.062,0.043,MG63,24,1,1
34,0,1.527,1.241,0.849,0.633,0.586,0.309,0.33,0.237,0.095,0.149,-0.044,MG63,24,1,1
35,0,1.388,1.24,0.63,0.721,0.539,0.266,0.282,0.162,0.101,0.125,-0.019,MG63,24,1,1
36,0,1.367,1.202,0.749,0.874,0.55,0.397,0.257,0.157,0.065,0.101,-0.057,MG63,24,1,1
37,0,1.328,1.405,0.635,0.609,0.614,0.332,0.274,0.25,0.081,0.129,-0.065,MG63,24,1,1
38,0,1.397,1.114,0.725,0.688,0.564,0.305,0.3,0.147,0.028,0.113,-0.085,MG63,24,1,1
39,0,1.238,1.178,0.697,0.642,0.534,0.333,0.291,0.202,0.064,0.077,-0.037,MG63,24,1,1
40,0,1.408,1.209,0.584,0.87,0.563,0.301,0.294,0.176,0.086,0.123,-0.098,MG63,24,1,1
41,0,1.228,1.36,0.753,0.714,0.588,0.333,0.298,0.248,0.045,0.139,0.018,MG63,24,1,1
42,0,1.262,1.458,0.7,0.58,0.639,0.37,0.275,0.148,0.079,0.158,0.001,MG63,24,1,1
47,Feed,1.503,1.216,0.938,0.473,0.466,0.297,0.223,0.165,0.012,0.077,-0.069,MG63,24,1,1
48,0,1.474,1.254,0.28,0.707,0.55,0.258,0.28,0.165,-0.024,0.062,-0.035,MG63,24,1,1
49,0,1.569,1.208,0.306,0.663,0.471,0.284,0.284,0.127,0.03,0.053,0.015,MG63,24,1,1
50,0,1.493,1.328,1.026,0.746,0.382,0.287,0.264,0.113,-0.004,0.112,-0.115,MG63,24,1,1
51,0,1.327,1.151,0.819,0.798,0.499,0.271,0.26,0.242,0.026,0.067,-0.021,MG63,24,1,1
52,0,1.487,1.172,0.431,1.015,0.636,0.297,0.215,0.192,0.08,0.108,-0.04,MG63,24,1,1
53,0,1.606,1.314,0.366,0.685,0.618,0.317,0.214,0.229,0.046,0.065,-0.009,MG63,24,1,1
54,0,1.431,1.369,0.908,0.958,0.531,0.316,0.224,0.131,0.087,0.112,0.015,MG63,24,1,1
55,0,1.583,1.278,0.882,0.685,0.549,0.285,0.242,0.144,0.045,0.132,-0.005,MG63,24,1,1
56,0,1.449,1.411,0.96,0.904,0.593,0.307,0.232,0.139,0.051,0.08,-0.082,MG63,24,1,1
57,0,1.401,1.304,0.84,0.871,0.66,0.329,0.232,0.131,0.055,0.038,-0.008,MG63,24,1,1
58,0,1.434,1.378,0.934,0.729,0.73,0.343,0.236,0.187,0.131,0.089,-0.063,MG63,24,1,1
59,0,1.427,1.488,1.015,0.69,0.464,0.389,0.246,0.22,-0.029,0.064,0.046,MG63,24,1,1
60,0,1.269,1.362,0.869,0.674,0.494,0.323,0.276,0.162,0.073,0.08,-0.111,MG63,24,1,1
61,0,1.612,1.286,0.782,0.744,0.442,0.361,0.229,0.226,0.043,0.097,0.005,MG63,24,1,1
62,0,1.418,1.414,0.855,0.668,0.804,0.323,0.23,0.203,0.081,0.118,-0.037,MG63,24,1,1
63,0,1.469,1.325,0.848,0.756,0.56,0.382,0.302,0.219,0.071,0.127,0.004,MG63,24,1,1
64,0,1.563,1.228,0.82,0.809,0.473,0.321,0.255,0.26,0.055,0.111,-0.012,MG63,24,1,1
65,0,1.474,1.441,0.898,0.836,0.489,0.334,0.293,0.216,0.076,0.081,-0.005,MG63,24,1,1
66,0,1.526,1.311,0.903,0.855,0.562,0.406,0.267,0.161,0.026,0.164,-0.04,MG63,24,1,1
74,Feed,1.175,0.982,0.398,0.239,0.321,0.151,0.073,-0.048,-0.114,0.01,-0.224,MG63,24,1,1
75,0,0.984,1.152,0.418,0.372,0.425,0.084,0.027,-0.025,-0.088,-0.06,-0.241,MG63,24,1,1
76,0,1.022,1.038,0.414,0.34,0.358,0.123,0.098,-0.018,-0.082,-0.11,-0.21,MG63,24,1,1
77,0,1.05,1.184,0.372,0.388,0.553,0.103,0.069,-0.017,-0.071,-0.099,-0.2,MG63,24,1,1
78,0,1.123,1.097,0.52,0.672,0.278,0.145,0.082,-0.054,-0.191,-0.129,-0.176,MG63,24,1,1
79,0,1.047,1.001,0.327,0.477,0.274,0.116,0.029,-0.081,-0.098,-0.12,-0.119,MG63,24,1,1
80,0,1.081,0.953,0.331,0.458,0.32,0.129,0.081,-0.018,-0.163,-0.074,-0.227,MG63,24,1,1
81,0,1.21,0.849,0.661,0.599,0.326,0.065,0.11,-0.007,-0.154,-0.076,-0.367,MG63,24,1,1
82,0,1.1,0.867,0.518,0.518,0.513,0.087,0.036,-0.046,-0.19,-0.072,-0.222,MG63,24,1,1
83,0,1.249,0.989,0.441,0.689,0.387,0.126,0.032,0.018,-0.189,-0.068,-0.215,MG63,24,1,1
84,0,1.107,0.883,0.408,0.4,0.241,0.095,0.074,-0.053,-0.211,-0.096,-0.183,MG63,24,1,1
85,0,1.075,0.862,0.483,0.442,0.546,0.107,0.067,0.032,-0.142,-0.115,-0.237,MG63,24,1,1
86,0,0.984,1.025,0.311,0.465,0.443,0.083,0.09,-0.009,-0.114,-0.087,-0.196,MG63,24,1,1
87,0,1.169,1.001,0.402,0.489,0.434,0.125,0.039,0.003,-0.121,-0.1,-0.194,MG63,24,1,1
88,0,0.906,0.861,0.629,0.582,0.375,0.182,0.065,-0.005,-0.141,-0.136,-0.125,MG63,24,1,1
89,0,1.214,0.933,0.553,0.505,0.534,0.058,0.088,0.064,-0.12,-0.068,-0.163,MG63,24,1,1
90,0,1.261,0.884,0.406,0.583,0.316,0.13,0.119,0.012,-0.101,-0.129,-0.193,MG63,24,1,1
91,0,1.141,0.973,0.593,0.437,0.384,0.142,0.125,0.059,-0.049,-0.083,-0.154,MG63,24,1,1
92,0,1.177,1.029,0.482,0.526,0.416,0.157,0.082,0.022,-0.132,-0.057,-0.217,MG63,24,1,1
93,0,1.164,1.063,0.729,0.511,0.377,0.123,0.167,0.034,-0.093,-0.084,-0.204,MG63,24,1,1
103,Feed,2.092,1.6,1.069,0.853,0.392,0.167,-0.027,-0.133,-0.232,-0.299,-0.445,MG63,24,2,1
104,0,1.87,1.513,0.856,0.813,0.46,0.198,0.035,-0.048,-0.264,-0.209,-0.38,MG63,24,2,1
105,0,1.825,1.533,0.908,0.834,0.613,0.178,-0.026,-0.077,-0.288,-0.239,-0.377,MG63,24,2,1
106,0,1.898,1.629,1.027,0.739,0.446,0.166,0.155,-0.031,-0.242,-0.264,-0.369,MG63,24,2,1
107,0,1.918,1.661,0.885,0.856,0.817,0.151,0.041,-0.095,-0.226,-0.286,-0.314,MG63,24,2,1
108,0,1.947,1.626,0.861,0.713,0.353,0.2,0.104,-0.068,-0.207,-0.209,-0.358,MG63,24,2,1
109,0,1.993,1.577,0.713,0.991,0.748,0.233,0.09,-0.062,-0.187,-0.186,-0.332,MG63,24,2,1
110,0,2.073,1.469,0.912,0.927,0.585,0.267,0.059,-0.054,-0.198,-0.202,-0.312,MG63,24,2,1
111,0,2.147,1.457,0.819,0.73,0.705,0.218,0.123,-0.1,-0.164,-0.19,-0.314,MG63,24,2,1
112,0,2.082,1.58,0.838,0.86,0.56,0.225,0.091,-0.038,-0.216,-0.218,-0.35,MG63,24,2,1
113,0,2.133,1.737,0.903,0.888,0.529,0.257,0.035,0.035,-0.105,-0.193,-0.353,MG63,24,2,1
114,0,2.029,1.533,1.013,0.766,0.649,0.288,0.148,-0.029,-0.196,-0.143,-0.333,MG63,24,2,1
115,0,2.196,1.579,0.936,0.782,0.499,0.292,0.149,-0.059,-0.126,-0.124,-0.33,MG63,24,2,1
116,0,2.132,1.755,1.062,0.739,0.463,0.26,0.171,-0.013,-0.169,-0.111,-0.276,MG63,24,2,1
117,0,2.189,1.808,1.17,0.891,0.588,0.247,0.146,0.005,-0.149,-0.112,-0.262,MG63,24,2,1
118,0,2.214,1.738,0.955,0.734,0.628,0.244,0.141,-0.008,-0.233,-0.187,-0.315,MG63,24,2,1
119,0,2.1,1.504,1.143,0.826,0.615,0.287,0.189,0.036,-0.179,-0.197,-0.277,MG63,24,2,1
120,0,2.105,1.71,1.172,0.922,0.664,0.211,0.216,-0.022,-0.094,-0.138,-0.281,MG63,24,2,1
121,0,2.123,1.643,0.932,0.878,0.582,0.287,0.107,0.04,-0.175,-0.103,-0.27,MG63,24,2,1
122,0,2.176,1.746,1.161,0.95,0.649,0.363,0.193,0.112,-0.091,-0.156,-0.257,MG63,24,2,1
125,Feed,2.648,1.896,1.088,0.934,0.489,0.171,0.062,-0.077,-0.208,-0.242,-0.391,MG63,24,2,1
126,0,2.671,1.811,1.248,0.926,0.404,0.24,0.126,-0.061,-0.21,-0.307,-0.403,MG63,24,2,1
127,0,2.472,2.172,1.167,0.848,0.55,0.194,0.05,-0.024,-0.253,-0.255,-0.4,MG63,24,2,1
128,0,2.394,1.936,1.134,0.864,0.668,0.291,0.058,-0.046,-0.18,-0.251,-0.397,MG63,24,2,1
129,0,2.392,1.831,1.03,0.868,0.483,0.25,0.098,-0.053,-0.248,-0.216,-0.375,MG63,24,2,1
