Average Zeroed Cap@174kHz,Average Zeroed Cap@224kHz,Average Zeroed Cap@287kHz,Average Zeroed Cap@368kHz,Average Zeroed Cap@473kHz,Average Zeroed Cap@607kHz,Average Zeroed Cap@779kHz,Average Zeroed Cap@1000kHz,Average Zeroed Cap@1284kHz,Average Zeroed Cap@1648kHz,Average Zeroed Cap@2115kHz,Group,Day,,,,,,,,,,,
1.58,1.56,1.024,0.914,0.79,0.602,0.431,0.289,0.242,0.285,0.262,1,1,,,,,,,,,,,
1.658,1.659,0.997,0.843,0.72,0.579,0.424,0.348,0.314,0.244,0.194,1,1,,,,,,,,,,,
1.653,1.505,0.962,1.017,0.935,0.501,0.407,0.337,0.262,0.305,0.208,1,1,,,,,,,,,,,
1.586,1.642,1.18,0.801,0.69,0.579,0.466,0.349,0.228,0.268,0.173,1,1,,,,,,,,,,,
1.776,1.453,1.047,1.058,0.997,0.561,0.444,0.267,0.207,0.222,0.218,1,1,,,,,,,,,,,
1.669,1.22,1.157,0.825,0.674,0.488,0.428,0.337,0.291,0.219,0.226,1,1,,,,,,,,,,,
1.597,1.421,1.108,0.707,0.848,0.549,0.407,0.355,0.234,0.207,0.179,1,1,,,,,,,,,,,
1.631,1.522,1.136,0.814,0.748,0.512,0.402,0.279,0.298,0.274,0.145,1,1,,,,,,,,,,,
1.722,1.622,0.873,0.993,0.914,0.505,0.446,0.282,0.247,0.213,0.164,1,1,,,,,,,,,,,
1.618,1.717,1.103,0.881,0.704,0.546,0.425,0.321,0.29,0.156,0.132,1,1,,,,,,,,,,,
1.582,1.5,0.905,0.816,0.807,0.54,0.384,0.317,0.197,0.265,0.182,1,1,,,,,,,,,,,
1.619,1.405,1.188,0.834,0.65,0.549,0.425,0.325,0.265,0.289,0.187,1,1,,,,,,,,,,,
1.599,1.558,0.907,0.899,0.831,0.496,0.373,0.314,0.255,0.237,0.139,1,1,,,,,,,,,,,
1.72,1.512,1.015,0.716,0.743,0.517,0.413,0.282,0.282,0.201,0.125,1,1,,,,,,,,,,,
1.663,1.345,1.028,0.901,0.531,0.558,0.411,0.216,0.2,0.198,0.141,1,1,,,,,,,,,,,
1.615,1.515,1.148,0.652,0.768,0.517,0.399,0.292,0.209,0.189,0.171,1,1,,,,,,,,,,,
1.653,1.6,1.165,0.902,0.682,0.528,0.453,0.289,0.253,0.172,0.127,1,1,,,,,,,,,,,
1.647,1.723,1.034,0.659,0.587,0.466,0.462,0.307,0.244,0.216,0.099,1,1,,,,,,,,,,,
1.766,1.574,0.99,1.041,0.716,0.532,0.391,0.265,0.289,0.27,0.155,1,1,,,,,,,,,,,
1.573,1.554,1.023,0.622,0.874,0.519,0.364,0.27,0.237,0.226,0.14,1,1,,,,,,,,,,,
1.865,1.84,1.265,0.969,1.085,0.759,0.494,0.481,0.45,0.366,0.298,1,1,,,,,,,,,,,
2.053,1.99,1.262,1.074,0.935,0.709,0.611,0.464,0.425,0.355,0.319,1,1,,,,,,,,,,,
1.69,1.785,1.535,1.143,0.896,0.715,0.557,0.511,0.418,0.319,0.304,1,1,,,,,,,,,,,
